max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 3623626504
(¬x3 ∨ ¬x12 ∨ ¬x18)
(x4 ∨ x23 ∨ ¬x7)
(¬x9 ∨ ¬x8 ∨ ¬x3)
(¬x16 ∨ x9 ∨ ¬x13)
(x18 ∨ x12 ∨ x20)
(¬x12 ∨ x7 ∨ ¬x14)
(x10 ∨ ¬x22 ∨ ¬x21)
(x10 ∨ ¬x3 ∨ ¬x10)
(¬x8 ∨ x23 ∨ ¬x14)
(¬x7 ∨ ¬x7 ∨ ¬x2)
(x17 ∨ x4 ∨ ¬x3)
(¬x14 ∨ x8 ∨ ¬x23)
(¬x20 ∨ x13 ∨ ¬x5)
(x15 ∨ ¬x19 ∨ ¬x17)
(¬x22 ∨ x12 ∨ ¬x9)
(¬x14 ∨ ¬x1 ∨ ¬x2)
(¬x15 ∨ x17 ∨ x18)
(¬x13 ∨ x14 ∨ x14)
(x21 ∨ ¬x5 ∨ ¬x19)
(¬x18 ∨ ¬x23 ∨ x9)
(x1 ∨ x1 ∨ x5)
(x0 ∨ x2 ∨ ¬x16)
(¬x5 ∨ ¬x14 ∨ ¬x8)
(¬x10 ∨ ¬x8 ∨ x14)
(¬x23 ∨ x7 ∨ x3)
(x2 ∨ ¬x7 ∨ ¬x6)
(x9 ∨ x13 ∨ ¬x0)
(x14 ∨ x16 ∨ x19)
(x17 ∨ ¬x0 ∨ ¬x19)
(¬x6 ∨ ¬x4 ∨ x11)
(x22 ∨ x13 ∨ x10)
(¬x19 ∨ ¬x3 ∨ x12)
(¬x18 ∨ ¬x14 ∨ ¬x18)
(¬x4 ∨ ¬x10 ∨ x20)
(x4 ∨ x5 ∨ ¬x2)
(¬x22 ∨ x14 ∨ ¬x20)
(¬x9 ∨ ¬x9 ∨ x19)
(x1 ∨ ¬x13 ∨ ¬x4)
(x22 ∨ ¬x14 ∨ x14)
(x6 ∨ ¬x14 ∨ x6)
(x23 ∨ x2 ∨ x15)
(¬x18 ∨ x8 ∨ x7)
(x4 ∨ ¬x3 ∨ x2)
(¬x20 ∨ ¬x0 ∨ ¬x16)
(¬x20 ∨ ¬x1 ∨ x13)
(¬x17 ∨ x18 ∨ ¬x18)
(¬x0 ∨ x3 ∨ x11)
(x0 ∨ ¬x17 ∨ ¬x19)
(x10 ∨ x9 ∨ x4)
(x23 ∨ ¬x3 ∨ ¬x21)
(x3 ∨ ¬x6 ∨ x17)
(¬x9 ∨ ¬x16 ∨ x4)
(x20 ∨ x13 ∨ ¬x2)
(x1 ∨ ¬x15 ∨ ¬x19)
(¬x23 ∨ x21 ∨ x15)
(x23 ∨ ¬x7 ∨ ¬x6)
(x7 ∨ x4 ∨ x6)
(x6 ∨ x10 ∨ x23)
(¬x4 ∨ ¬x12 ∨ x13)
(¬x7 ∨ ¬x3 ∨ x5)
(¬x18 ∨ ¬x18 ∨ ¬x14)
(x23 ∨ x8 ∨ x15)
(¬x1 ∨ x4 ∨ x19)
(x15 ∨ ¬x15 ∨ ¬x23)
(x11 ∨ ¬x3 ∨ ¬x16)
(x12 ∨ ¬x10 ∨ ¬x7)
(x16 ∨ x0 ∨ x22)
(¬x11 ∨ ¬x15 ∨ x14)
(x14 ∨ x21 ∨ x0)
(¬x18 ∨ x2 ∨ ¬x3)
(x16 ∨ ¬x19 ∨ x12)
(x18 ∨ ¬x22 ∨ ¬x3)
(x22 ∨ x4 ∨ ¬x9)
(x19 ∨ x5 ∨ ¬x17)
(x15 ∨ ¬x11 ∨ ¬x3)
(¬x11 ∨ ¬x11 ∨ ¬x16)
(x13 ∨ ¬x14 ∨ ¬x8)
(¬x6 ∨ ¬x19 ∨ ¬x7)
(x6 ∨ x14 ∨ x11)
(x21 ∨ x23 ∨ x23)
(x8 ∨ ¬x1 ∨ ¬x23)
(¬x15 ∨ x3 ∨ ¬x2)
(x2 ∨ ¬x12 ∨ ¬x7)
(x2 ∨ ¬x0 ∨ ¬x5)
(x1 ∨ x2 ∨ ¬x5)
(¬x14 ∨ x2 ∨ ¬x14)
(¬x13 ∨ ¬x1 ∨ x23)
(¬x21 ∨ x23 ∨ x5)
(¬x5 ∨ ¬x6 ∨ ¬x19)
(x6 ∨ x5 ∨ x16)
(¬x12 ∨ x18 ∨ x20)
(x13 ∨ ¬x9 ∨ x9)
(x12 ∨ x5 ∨ ¬x5)
(¬x12 ∨ x13 ∨ ¬x6)
(¬x13 ∨ ¬x2 ∨ x21)
(¬x15 ∨ x4 ∨ x12)
(¬x0 ∨ x21 ∨ x6)
(¬x18 ∨ x20 ∨ ¬x19)
(x13 ∨ ¬x1 ∨ x12)
(x9 ∨ x18 ∨ ¬x2)

====================
EG
====================
