max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 2835323429
(x22 ∨ x22 ∨ x17)
(x6 ∨ ¬x5 ∨ ¬x9)
(x14 ∨ x2 ∨ ¬x12)
(x5 ∨ x6 ∨ x15)
(¬x19 ∨ x11 ∨ x13)
(¬x13 ∨ ¬x13 ∨ ¬x14)
(¬x8 ∨ ¬x3 ∨ x13)
(x21 ∨ ¬x6 ∨ ¬x17)
(x0 ∨ ¬x11 ∨ x3)
(x22 ∨ x18 ∨ ¬x21)
(¬x17 ∨ x3 ∨ x6)
(¬x7 ∨ ¬x8 ∨ x5)
(¬x18 ∨ ¬x11 ∨ x3)
(¬x10 ∨ x17 ∨ x17)
(x1 ∨ ¬x8 ∨ ¬x4)
(x23 ∨ x7 ∨ ¬x13)
(x19 ∨ ¬x3 ∨ x0)
(x16 ∨ x4 ∨ x7)
(¬x17 ∨ ¬x22 ∨ ¬x8)
(x8 ∨ ¬x11 ∨ x17)
(¬x14 ∨ x13 ∨ ¬x12)
(x15 ∨ x18 ∨ ¬x5)
(x12 ∨ x17 ∨ ¬x16)
(x3 ∨ x17 ∨ x22)
(¬x16 ∨ x14 ∨ ¬x12)
(x1 ∨ ¬x2 ∨ ¬x16)
(x15 ∨ ¬x17 ∨ x4)
(¬x10 ∨ ¬x19 ∨ x0)
(¬x23 ∨ x1 ∨ x9)
(x13 ∨ ¬x13 ∨ x1)
(¬x16 ∨ ¬x10 ∨ ¬x11)
(x21 ∨ ¬x20 ∨ ¬x9)
(x21 ∨ ¬x15 ∨ ¬x19)
(x20 ∨ ¬x3 ∨ x22)
(¬x9 ∨ ¬x7 ∨ ¬x13)
(x6 ∨ x12 ∨ ¬x9)
(x21 ∨ ¬x20 ∨ ¬x11)
(¬x12 ∨ x22 ∨ x0)
(x19 ∨ x5 ∨ x0)
(x13 ∨ ¬x9 ∨ x11)
(¬x22 ∨ ¬x19 ∨ ¬x6)
(¬x11 ∨ ¬x3 ∨ x14)
(x1 ∨ ¬x5 ∨ ¬x15)
(¬x16 ∨ ¬x19 ∨ ¬x16)
(x1 ∨ ¬x13 ∨ ¬x11)
(¬x13 ∨ x8 ∨ ¬x21)
(x20 ∨ x0 ∨ x12)
(¬x14 ∨ ¬x10 ∨ ¬x1)
(¬x2 ∨ x1 ∨ x22)
(x15 ∨ ¬x19 ∨ x14)
(¬x17 ∨ ¬x2 ∨ x21)
(¬x2 ∨ ¬x11 ∨ ¬x11)
(¬x14 ∨ ¬x6 ∨ ¬x15)
(x12 ∨ ¬x7 ∨ x15)
(x9 ∨ ¬x20 ∨ x23)
(¬x12 ∨ ¬x11 ∨ x9)
(¬x12 ∨ x14 ∨ x8)
(¬x14 ∨ x1 ∨ x11)
(x21 ∨ ¬x18 ∨ x20)
(¬x6 ∨ x18 ∨ x12)
(x7 ∨ x12 ∨ ¬x18)
(¬x9 ∨ x2 ∨ ¬x22)
(¬x18 ∨ x16 ∨ ¬x7)
(x13 ∨ x15 ∨ x8)
(x12 ∨ x12 ∨ ¬x16)
(x12 ∨ ¬x1 ∨ ¬x1)
(x2 ∨ x2 ∨ ¬x0)
(x3 ∨ ¬x16 ∨ x13)
(¬x16 ∨ x1 ∨ x16)
(x1 ∨ ¬x21 ∨ x19)
(¬x19 ∨ x0 ∨ ¬x12)
(¬x9 ∨ ¬x17 ∨ x7)
(¬x8 ∨ x21 ∨ ¬x4)
(¬x20 ∨ ¬x13 ∨ ¬x23)
(¬x12 ∨ ¬x4 ∨ x3)
(x20 ∨ x9 ∨ x7)
(x2 ∨ ¬x16 ∨ ¬x4)
(¬x16 ∨ x3 ∨ ¬x2)
(¬x10 ∨ x13 ∨ x18)
(x11 ∨ ¬x16 ∨ x0)
(x0 ∨ x14 ∨ ¬x15)
(x11 ∨ ¬x7 ∨ ¬x9)
(¬x4 ∨ ¬x19 ∨ ¬x7)
(x10 ∨ ¬x9 ∨ x2)
(¬x2 ∨ ¬x4 ∨ ¬x0)
(x16 ∨ ¬x22 ∨ ¬x2)
(x13 ∨ x0 ∨ x20)
(x21 ∨ ¬x22 ∨ ¬x8)
(x10 ∨ ¬x14 ∨ x14)
(¬x0 ∨ ¬x22 ∨ x2)
(x14 ∨ x1 ∨ ¬x2)
(x7 ∨ x14 ∨ ¬x22)
(¬x19 ∨ x6 ∨ x18)
(¬x0 ∨ x16 ∨ ¬x12)
(x15 ∨ x11 ∨ x23)
(x7 ∨ ¬x13 ∨ x22)
(¬x6 ∨ x20 ∨ x12)
(x4 ∨ x22 ∨ x1)
(x22 ∨ x10 ∨ x0)
(x16 ∨ ¬x7 ∨ ¬x21)

====================
EG
====================
