max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 3233465588
(x2 ∨ x17 ∨ ¬x15)
(¬x12 ∨ x19 ∨ ¬x23)
(x5 ∨ x19 ∨ x9)
(¬x1 ∨ x14 ∨ x22)
(x9 ∨ x19 ∨ x10)
(x6 ∨ x13 ∨ x9)
(¬x4 ∨ ¬x7 ∨ x9)
(¬x7 ∨ x2 ∨ ¬x18)
(x9 ∨ ¬x9 ∨ x2)
(x7 ∨ x1 ∨ x10)
(¬x2 ∨ ¬x22 ∨ x8)
(¬x10 ∨ ¬x16 ∨ x20)
(¬x22 ∨ ¬x2 ∨ ¬x22)
(¬x12 ∨ x21 ∨ ¬x13)
(¬x1 ∨ ¬x1 ∨ ¬x15)
(¬x21 ∨ x20 ∨ x3)
(¬x9 ∨ ¬x1 ∨ x4)
(x0 ∨ x19 ∨ x11)
(x0 ∨ x8 ∨ ¬x4)
(¬x12 ∨ x5 ∨ ¬x1)
(¬x12 ∨ x9 ∨ ¬x8)
(x16 ∨ x3 ∨ x13)
(¬x2 ∨ ¬x9 ∨ ¬x4)
(¬x17 ∨ ¬x19 ∨ x13)
(x21 ∨ ¬x13 ∨ x1)
(x17 ∨ ¬x0 ∨ x1)
(¬x14 ∨ x13 ∨ ¬x4)
(¬x14 ∨ ¬x15 ∨ x0)
(¬x22 ∨ x17 ∨ ¬x22)
(x13 ∨ ¬x16 ∨ ¬x19)
(x23 ∨ x18 ∨ x18)
(¬x2 ∨ x2 ∨ ¬x23)
(¬x12 ∨ x6 ∨ x3)
(x7 ∨ ¬x1 ∨ x14)
(x23 ∨ x4 ∨ x21)
(x14 ∨ ¬x20 ∨ ¬x11)
(¬x14 ∨ x1 ∨ x15)
(x1 ∨ ¬x7 ∨ x2)
(¬x9 ∨ x9 ∨ x15)
(¬x11 ∨ ¬x23 ∨ x10)
(¬x0 ∨ ¬x10 ∨ ¬x20)
(x17 ∨ ¬x20 ∨ ¬x2)
(¬x23 ∨ x18 ∨ ¬x21)
(¬x16 ∨ x21 ∨ x4)
(x13 ∨ x8 ∨ ¬x14)
(x17 ∨ x2 ∨ x15)
(¬x1 ∨ x6 ∨ x21)
(x21 ∨ ¬x18 ∨ ¬x9)
(x22 ∨ x20 ∨ x6)
(¬x14 ∨ x6 ∨ ¬x16)
(¬x6 ∨ x1 ∨ ¬x21)
(¬x10 ∨ ¬x6 ∨ ¬x1)
(x10 ∨ ¬x4 ∨ ¬x16)
(x22 ∨ x13 ∨ ¬x4)
(x20 ∨ x22 ∨ x22)
(¬x14 ∨ x8 ∨ ¬x10)
(¬x16 ∨ ¬x1 ∨ x22)
(x11 ∨ x15 ∨ ¬x22)
(x4 ∨ x1 ∨ ¬x3)
(¬x4 ∨ x17 ∨ x14)
(¬x9 ∨ x3 ∨ x8)
(x23 ∨ ¬x15 ∨ x22)
(x9 ∨ ¬x4 ∨ x20)
(¬x4 ∨ x7 ∨ ¬x19)
(x9 ∨ x2 ∨ ¬x4)
(x23 ∨ ¬x5 ∨ ¬x3)
(¬x0 ∨ ¬x5 ∨ ¬x12)
(¬x21 ∨ x21 ∨ ¬x10)
(x2 ∨ ¬x1 ∨ ¬x14)
(¬x15 ∨ x9 ∨ x16)
(x2 ∨ x13 ∨ x18)
(x0 ∨ x2 ∨ ¬x2)
(x6 ∨ ¬x11 ∨ x4)
(x10 ∨ x17 ∨ x1)
(¬x23 ∨ x15 ∨ ¬x3)
(¬x1 ∨ x17 ∨ x16)
(¬x6 ∨ x17 ∨ ¬x13)
(x11 ∨ x5 ∨ ¬x22)
(¬x19 ∨ x4 ∨ ¬x11)
(x16 ∨ ¬x23 ∨ x12)
(¬x10 ∨ ¬x8 ∨ ¬x5)
(x10 ∨ ¬x19 ∨ ¬x17)
(x5 ∨ ¬x6 ∨ ¬x14)
(x9 ∨ ¬x3 ∨ x7)
(¬x16 ∨ x16 ∨ ¬x9)
(¬x6 ∨ x13 ∨ x15)
(x15 ∨ ¬x8 ∨ x6)
(x9 ∨ ¬x11 ∨ ¬x7)
(x12 ∨ x8 ∨ x0)
(¬x11 ∨ ¬x21 ∨ x22)
(¬x9 ∨ ¬x1 ∨ x15)
(¬x20 ∨ x23 ∨ x1)
(x18 ∨ x5 ∨ ¬x6)
(x5 ∨ x7 ∨ ¬x14)
(x11 ∨ x3 ∨ ¬x21)
(x3 ∨ x13 ∨ x15)
(x19 ∨ x21 ∨ ¬x9)
(¬x18 ∨ ¬x3 ∨ x5)
(x6 ∨ ¬x17 ∨ ¬x18)
(x11 ∨ ¬x5 ∨ x0)

====================
EG
====================
