max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 2133447270
(¬x17 ∨ ¬x13 ∨ ¬x4)
(¬x20 ∨ x9 ∨ x6)
(¬x21 ∨ ¬x14 ∨ ¬x17)
(¬x23 ∨ ¬x11 ∨ ¬x5)
(¬x10 ∨ x9 ∨ ¬x17)
(x17 ∨ ¬x12 ∨ ¬x7)
(x15 ∨ ¬x7 ∨ ¬x14)
(¬x9 ∨ ¬x12 ∨ ¬x20)
(x6 ∨ ¬x21 ∨ ¬x15)
(¬x19 ∨ ¬x10 ∨ x21)
(x4 ∨ x19 ∨ ¬x10)
(x6 ∨ x11 ∨ x3)
(x7 ∨ x18 ∨ ¬x19)
(x5 ∨ x15 ∨ x7)
(x3 ∨ x17 ∨ ¬x11)
(¬x19 ∨ x12 ∨ x6)
(x18 ∨ ¬x19 ∨ ¬x8)
(¬x15 ∨ ¬x23 ∨ ¬x0)
(¬x4 ∨ x6 ∨ x4)
(x21 ∨ x12 ∨ ¬x9)
(¬x10 ∨ x9 ∨ ¬x20)
(¬x4 ∨ ¬x4 ∨ x4)
(x16 ∨ x10 ∨ ¬x18)
(x9 ∨ x15 ∨ x4)
(¬x19 ∨ ¬x1 ∨ x13)
(¬x17 ∨ x7 ∨ x19)
(¬x5 ∨ x10 ∨ ¬x17)
(¬x14 ∨ x21 ∨ x20)
(x8 ∨ x1 ∨ ¬x19)
(¬x20 ∨ ¬x20 ∨ ¬x17)
(x22 ∨ ¬x4 ∨ x3)
(¬x10 ∨ x20 ∨ x8)
(¬x12 ∨ x19 ∨ ¬x22)
(x17 ∨ x19 ∨ x18)
(x19 ∨ ¬x3 ∨ ¬x7)
(¬x19 ∨ x13 ∨ x16)
(x15 ∨ x21 ∨ ¬x15)
(x1 ∨ x11 ∨ x13)
(x3 ∨ x5 ∨ ¬x22)
(¬x11 ∨ x11 ∨ ¬x0)
(x0 ∨ ¬x7 ∨ x23)
(x1 ∨ ¬x1 ∨ ¬x10)
(x2 ∨ x11 ∨ x14)
(¬x13 ∨ x3 ∨ x9)
(x6 ∨ x14 ∨ ¬x20)
(x13 ∨ ¬x7 ∨ x8)
(x18 ∨ x11 ∨ x10)
(x14 ∨ ¬x5 ∨ x1)
(¬x10 ∨ ¬x9 ∨ x1)
(x14 ∨ x18 ∨ ¬x14)
(x22 ∨ x1 ∨ ¬x8)
(¬x0 ∨ x5 ∨ x21)
(¬x13 ∨ ¬x23 ∨ ¬x10)
(¬x20 ∨ x13 ∨ x14)
(¬x11 ∨ ¬x0 ∨ ¬x14)
(x23 ∨ ¬x6 ∨ x5)
(x7 ∨ x2 ∨ ¬x22)
(¬x14 ∨ ¬x14 ∨ ¬x8)
(x5 ∨ ¬x22 ∨ ¬x12)
(¬x10 ∨ x20 ∨ x7)
(x1 ∨ x18 ∨ ¬x18)
(x3 ∨ x14 ∨ ¬x6)
(x17 ∨ x23 ∨ x21)
(x15 ∨ x21 ∨ x10)
(x8 ∨ ¬x8 ∨ x20)
(¬x19 ∨ ¬x4 ∨ ¬x19)
(¬x10 ∨ ¬x10 ∨ ¬x6)
(x19 ∨ x1 ∨ ¬x7)
(¬x8 ∨ x1 ∨ x1)
(x2 ∨ ¬x21 ∨ ¬x4)
(x11 ∨ ¬x8 ∨ ¬x12)
(x0 ∨ ¬x1 ∨ ¬x13)
(¬x20 ∨ ¬x20 ∨ ¬x18)
(x1 ∨ x18 ∨ x23)
(x2 ∨ ¬x12 ∨ x15)
(x6 ∨ x20 ∨ ¬x11)
(x2 ∨ x9 ∨ x1)
(x18 ∨ x19 ∨ ¬x14)
(x20 ∨ ¬x5 ∨ x11)
(x14 ∨ x19 ∨ x4)
(x14 ∨ x17 ∨ ¬x17)
(x16 ∨ x23 ∨ ¬x23)
(¬x2 ∨ x15 ∨ x5)
(x12 ∨ ¬x21 ∨ x13)
(x21 ∨ x13 ∨ x20)
(x16 ∨ ¬x19 ∨ x8)
(¬x5 ∨ ¬x11 ∨ ¬x22)
(¬x3 ∨ x15 ∨ x10)
(x20 ∨ x11 ∨ x13)
(¬x20 ∨ x16 ∨ ¬x11)
(x12 ∨ x13 ∨ x21)
(¬x2 ∨ x11 ∨ ¬x11)
(¬x6 ∨ x11 ∨ ¬x5)
(¬x18 ∨ x13 ∨ x15)
(¬x21 ∨ x8 ∨ x3)
(x8 ∨ x23 ∨ ¬x21)
(¬x1 ∨ ¬x12 ∨ ¬x14)
(¬x4 ∨ x14 ∨ x0)
(¬x7 ∨ x4 ∨ ¬x11)
(x22 ∨ ¬x23 ∨ x7)

====================
EG
====================
