max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 3101789890
(¬x13 ∨ x20 ∨ ¬x2)
(x0 ∨ x15 ∨ ¬x20)
(x20 ∨ x7 ∨ x23)
(¬x2 ∨ ¬x12 ∨ x23)
(x4 ∨ x2 ∨ x6)
(x21 ∨ ¬x2 ∨ ¬x14)
(x8 ∨ ¬x20 ∨ x8)
(¬x12 ∨ x10 ∨ x14)
(x2 ∨ ¬x22 ∨ ¬x18)
(x13 ∨ ¬x1 ∨ x6)
(¬x20 ∨ ¬x23 ∨ x19)
(x2 ∨ x22 ∨ ¬x5)
(¬x15 ∨ x5 ∨ x16)
(¬x6 ∨ x20 ∨ ¬x16)
(x8 ∨ ¬x19 ∨ ¬x5)
(¬x6 ∨ ¬x10 ∨ x8)
(¬x19 ∨ x9 ∨ ¬x15)
(x8 ∨ x10 ∨ ¬x7)
(¬x12 ∨ ¬x19 ∨ ¬x18)
(¬x4 ∨ ¬x2 ∨ ¬x6)
(¬x3 ∨ ¬x6 ∨ x12)
(x12 ∨ ¬x15 ∨ ¬x8)
(¬x5 ∨ x3 ∨ ¬x13)
(x1 ∨ ¬x5 ∨ x19)
(¬x8 ∨ x14 ∨ ¬x5)
(¬x17 ∨ ¬x22 ∨ x18)
(x13 ∨ x15 ∨ ¬x20)
(¬x1 ∨ ¬x21 ∨ ¬x17)
(x0 ∨ x13 ∨ x20)
(x13 ∨ ¬x6 ∨ ¬x2)
(x1 ∨ x13 ∨ x12)
(x22 ∨ ¬x22 ∨ x5)
(x19 ∨ x21 ∨ x8)
(¬x2 ∨ ¬x13 ∨ x14)
(¬x7 ∨ x18 ∨ x5)
(¬x23 ∨ x14 ∨ ¬x0)
(¬x20 ∨ x20 ∨ ¬x11)
(x20 ∨ x11 ∨ x8)
(¬x0 ∨ x13 ∨ ¬x1)
(x19 ∨ x12 ∨ x16)
(¬x20 ∨ x15 ∨ ¬x21)
(¬x22 ∨ x15 ∨ x3)
(¬x0 ∨ ¬x0 ∨ x20)
(x5 ∨ ¬x8 ∨ x11)
(x11 ∨ ¬x0 ∨ ¬x5)
(x23 ∨ ¬x4 ∨ ¬x22)
(x15 ∨ ¬x19 ∨ ¬x5)
(¬x23 ∨ ¬x0 ∨ x8)
(x9 ∨ ¬x17 ∨ x22)
(x20 ∨ ¬x19 ∨ ¬x2)
(x4 ∨ ¬x10 ∨ x9)
(¬x3 ∨ x10 ∨ x7)
(¬x18 ∨ ¬x18 ∨ ¬x5)
(¬x5 ∨ x19 ∨ ¬x20)
(x8 ∨ x1 ∨ ¬x0)
(¬x20 ∨ x19 ∨ ¬x0)
(¬x11 ∨ ¬x13 ∨ ¬x8)
(¬x0 ∨ x16 ∨ ¬x20)
(x4 ∨ x5 ∨ ¬x18)
(x21 ∨ x5 ∨ x2)
(¬x12 ∨ x3 ∨ ¬x19)
(¬x4 ∨ x1 ∨ x2)
(x7 ∨ x3 ∨ x23)
(¬x17 ∨ x13 ∨ x7)
(¬x19 ∨ x7 ∨ x19)
(¬x10 ∨ ¬x17 ∨ ¬x8)
(x20 ∨ ¬x10 ∨ ¬x19)
(x7 ∨ x0 ∨ ¬x14)
(¬x2 ∨ x6 ∨ x22)
(¬x13 ∨ ¬x16 ∨ x15)
(¬x20 ∨ x20 ∨ x14)
(¬x8 ∨ x22 ∨ x19)
(x4 ∨ ¬x18 ∨ ¬x6)
(¬x23 ∨ x9 ∨ ¬x20)
(¬x3 ∨ ¬x20 ∨ ¬x17)
(x0 ∨ ¬x16 ∨ x11)
(x17 ∨ ¬x7 ∨ ¬x21)
(¬x9 ∨ ¬x1 ∨ x13)
(x3 ∨ x16 ∨ ¬x6)
(¬x9 ∨ x5 ∨ x2)
(¬x21 ∨ ¬x19 ∨ ¬x9)
(¬x6 ∨ x7 ∨ ¬x3)
(x12 ∨ x0 ∨ ¬x9)
(x23 ∨ ¬x13 ∨ x9)
(x11 ∨ x18 ∨ ¬x17)
(x20 ∨ ¬x22 ∨ x18)
(x14 ∨ ¬x2 ∨ x1)
(¬x12 ∨ ¬x15 ∨ x12)
(x6 ∨ x23 ∨ x5)
(¬x1 ∨ x10 ∨ ¬x2)
(x18 ∨ x16 ∨ x7)
(x22 ∨ x3 ∨ x3)
(¬x0 ∨ x11 ∨ x16)
(¬x1 ∨ ¬x11 ∨ x1)
(x6 ∨ x17 ∨ x18)
(¬x23 ∨ x12 ∨ x8)
(x0 ∨ ¬x3 ∨ x0)
(x20 ∨ x15 ∨ x18)
(¬x19 ∨ ¬x2 ∨ ¬x21)
(x1 ∨ x7 ∨ x10)

====================
EG
====================
