max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 2766542218
(x23 ∨ ¬x15 ∨ ¬x4)
(x16 ∨ x14 ∨ ¬x16)
(x9 ∨ ¬x14 ∨ ¬x17)
(x13 ∨ ¬x4 ∨ ¬x14)
(¬x22 ∨ ¬x9 ∨ ¬x6)
(¬x14 ∨ x14 ∨ ¬x1)
(¬x5 ∨ x4 ∨ x23)
(x17 ∨ x9 ∨ x22)
(¬x5 ∨ ¬x22 ∨ ¬x3)
(¬x21 ∨ ¬x11 ∨ ¬x11)
(¬x10 ∨ ¬x16 ∨ x7)
(¬x3 ∨ x3 ∨ x12)
(x6 ∨ ¬x21 ∨ x12)
(x13 ∨ x13 ∨ ¬x1)
(¬x3 ∨ x22 ∨ ¬x7)
(x10 ∨ x19 ∨ ¬x8)
(¬x5 ∨ ¬x0 ∨ x21)
(¬x9 ∨ x13 ∨ ¬x17)
(x18 ∨ ¬x5 ∨ ¬x16)
(x1 ∨ x20 ∨ x4)
(x3 ∨ ¬x4 ∨ ¬x22)
(x0 ∨ x9 ∨ ¬x15)
(¬x7 ∨ ¬x22 ∨ x17)
(¬x4 ∨ ¬x15 ∨ x21)
(x20 ∨ x17 ∨ x1)
(¬x7 ∨ ¬x0 ∨ x15)
(¬x18 ∨ ¬x7 ∨ ¬x22)
(x16 ∨ ¬x22 ∨ x16)
(x0 ∨ x7 ∨ x13)
(x16 ∨ x2 ∨ x19)
(x4 ∨ x1 ∨ x21)
(¬x18 ∨ ¬x16 ∨ x15)
(x22 ∨ x3 ∨ x6)
(x20 ∨ x3 ∨ x9)
(¬x9 ∨ x7 ∨ ¬x3)
(¬x19 ∨ ¬x6 ∨ ¬x5)
(x13 ∨ ¬x19 ∨ x10)
(x13 ∨ x5 ∨ ¬x19)
(x13 ∨ ¬x15 ∨ x5)
(¬x8 ∨ x14 ∨ ¬x9)
(x23 ∨ x15 ∨ x6)
(x20 ∨ x3 ∨ ¬x21)
(x3 ∨ ¬x10 ∨ x19)
(x9 ∨ ¬x21 ∨ x11)
(¬x1 ∨ x22 ∨ ¬x15)
(x12 ∨ x5 ∨ ¬x3)
(x2 ∨ ¬x10 ∨ ¬x5)
(¬x6 ∨ x1 ∨ ¬x4)
(x20 ∨ x14 ∨ x14)
(¬x8 ∨ x13 ∨ ¬x6)
(¬x8 ∨ ¬x13 ∨ ¬x23)
(¬x6 ∨ ¬x9 ∨ x4)
(¬x22 ∨ ¬x6 ∨ x23)
(x10 ∨ ¬x11 ∨ ¬x19)
(¬x4 ∨ x17 ∨ x14)
(¬x13 ∨ ¬x11 ∨ ¬x17)
(x6 ∨ x18 ∨ x23)
(¬x21 ∨ ¬x4 ∨ x16)
(x13 ∨ x20 ∨ x1)
(x15 ∨ x0 ∨ x6)
(¬x22 ∨ x19 ∨ ¬x3)
(x14 ∨ ¬x19 ∨ ¬x3)
(x22 ∨ ¬x11 ∨ x15)
(¬x21 ∨ x9 ∨ ¬x13)
(x9 ∨ x1 ∨ ¬x9)
(¬x23 ∨ ¬x4 ∨ ¬x11)
(x19 ∨ x11 ∨ ¬x7)
(¬x1 ∨ x15 ∨ ¬x3)
(¬x1 ∨ x17 ∨ ¬x14)
(¬x2 ∨ ¬x19 ∨ ¬x11)
(¬x8 ∨ x11 ∨ x10)
(x7 ∨ x16 ∨ x7)
(x9 ∨ x8 ∨ ¬x3)
(¬x16 ∨ x20 ∨ x16)
(¬x14 ∨ x18 ∨ ¬x19)
(¬x19 ∨ x15 ∨ ¬x2)
(¬x22 ∨ ¬x19 ∨ x13)
(¬x21 ∨ x21 ∨ x12)
(x4 ∨ ¬x9 ∨ ¬x3)
(x19 ∨ x2 ∨ ¬x11)
(x18 ∨ ¬x21 ∨ ¬x13)
(x10 ∨ x14 ∨ x0)
(¬x8 ∨ x10 ∨ ¬x23)
(¬x0 ∨ x5 ∨ ¬x19)
(x13 ∨ ¬x15 ∨ x5)
(¬x7 ∨ x12 ∨ x6)
(¬x18 ∨ ¬x10 ∨ x2)
(¬x2 ∨ x15 ∨ x17)
(x21 ∨ ¬x11 ∨ x22)
(x16 ∨ x4 ∨ ¬x5)
(x21 ∨ x3 ∨ ¬x18)
(¬x19 ∨ ¬x17 ∨ x9)
(¬x6 ∨ ¬x5 ∨ x7)
(x13 ∨ ¬x6 ∨ x4)
(¬x6 ∨ ¬x20 ∨ x3)
(¬x23 ∨ x19 ∨ ¬x4)
(¬x6 ∨ ¬x21 ∨ ¬x8)
(x13 ∨ x10 ∨ x8)
(¬x1 ∨ x4 ∨ x11)
(x4 ∨ x1 ∨ x0)

====================
EG
====================
