max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 2206013487
(x6 ∨ x0 ∨ x0)
(x1 ∨ ¬x17 ∨ x2)
(¬x7 ∨ ¬x14 ∨ ¬x18)
(x22 ∨ ¬x10 ∨ x17)
(x23 ∨ ¬x20 ∨ x0)
(x12 ∨ ¬x23 ∨ ¬x23)
(¬x21 ∨ x4 ∨ ¬x3)
(x17 ∨ ¬x22 ∨ x1)
(¬x23 ∨ ¬x20 ∨ x13)
(¬x1 ∨ ¬x11 ∨ x12)
(¬x22 ∨ x12 ∨ ¬x17)
(¬x5 ∨ x18 ∨ x21)
(¬x16 ∨ x2 ∨ ¬x16)
(¬x5 ∨ ¬x9 ∨ ¬x1)
(¬x6 ∨ ¬x21 ∨ ¬x8)
(¬x23 ∨ ¬x23 ∨ ¬x13)
(¬x3 ∨ x1 ∨ x16)
(¬x7 ∨ ¬x17 ∨ ¬x19)
(x3 ∨ ¬x15 ∨ ¬x21)
(x18 ∨ x12 ∨ ¬x0)
(¬x15 ∨ x19 ∨ x14)
(¬x8 ∨ ¬x0 ∨ x12)
(x14 ∨ ¬x3 ∨ x7)
(¬x5 ∨ x17 ∨ x10)
(¬x3 ∨ ¬x19 ∨ x1)
(x16 ∨ x11 ∨ x2)
(¬x2 ∨ x19 ∨ ¬x17)
(¬x23 ∨ ¬x9 ∨ x15)
(x6 ∨ ¬x2 ∨ x17)
(x17 ∨ ¬x13 ∨ ¬x14)
(¬x10 ∨ x7 ∨ x9)
(¬x18 ∨ x8 ∨ ¬x6)
(x21 ∨ x16 ∨ ¬x9)
(x2 ∨ ¬x23 ∨ ¬x3)
(¬x10 ∨ x6 ∨ ¬x2)
(x4 ∨ x11 ∨ x12)
(¬x16 ∨ ¬x11 ∨ x17)
(¬x11 ∨ ¬x4 ∨ x15)
(x8 ∨ x11 ∨ ¬x11)
(x19 ∨ x9 ∨ ¬x8)
(¬x13 ∨ x23 ∨ ¬x15)
(x9 ∨ ¬x10 ∨ ¬x17)
(¬x22 ∨ x21 ∨ x2)
(¬x3 ∨ x13 ∨ ¬x4)
(x7 ∨ ¬x17 ∨ x14)
(x0 ∨ x13 ∨ x5)
(x16 ∨ x19 ∨ ¬x9)
(¬x20 ∨ x17 ∨ ¬x9)
(x2 ∨ x5 ∨ ¬x16)
(x13 ∨ x9 ∨ x17)
(¬x16 ∨ x21 ∨ x16)
(¬x5 ∨ x14 ∨ x4)
(x12 ∨ ¬x1 ∨ x0)
(¬x15 ∨ ¬x17 ∨ ¬x4)
(¬x6 ∨ ¬x17 ∨ x22)
(¬x8 ∨ ¬x11 ∨ x8)
(x20 ∨ x22 ∨ ¬x4)
(x11 ∨ x2 ∨ x16)
(¬x10 ∨ x10 ∨ x21)
(x19 ∨ ¬x22 ∨ ¬x18)
(x9 ∨ ¬x11 ∨ ¬x19)
(x19 ∨ ¬x5 ∨ ¬x23)
(x21 ∨ x17 ∨ ¬x18)
(x6 ∨ x15 ∨ x22)
(x13 ∨ x11 ∨ ¬x19)
(x20 ∨ ¬x19 ∨ ¬x6)
(x15 ∨ ¬x22 ∨ x19)
(x23 ∨ ¬x23 ∨ x19)
(¬x10 ∨ ¬x6 ∨ x10)
(x6 ∨ x11 ∨ ¬x15)
(x22 ∨ ¬x15 ∨ x10)
(¬x19 ∨ x18 ∨ x4)
(x16 ∨ ¬x16 ∨ ¬x14)
(x14 ∨ ¬x23 ∨ x3)
(x0 ∨ ¬x6 ∨ x13)
(x15 ∨ x23 ∨ x9)
(x21 ∨ x10 ∨ ¬x19)
(x6 ∨ ¬x12 ∨ ¬x16)
(¬x21 ∨ x0 ∨ ¬x11)
(x21 ∨ x0 ∨ x17)
(x20 ∨ ¬x20 ∨ ¬x10)
(¬x11 ∨ ¬x13 ∨ ¬x20)
(x0 ∨ ¬x15 ∨ x21)
(x4 ∨ x14 ∨ x14)
(¬x12 ∨ ¬x8 ∨ ¬x6)
(x13 ∨ x22 ∨ x1)
(¬x3 ∨ x15 ∨ ¬x23)
(x8 ∨ ¬x8 ∨ ¬x13)
(¬x23 ∨ ¬x3 ∨ x21)
(¬x16 ∨ ¬x3 ∨ ¬x13)
(x14 ∨ x19 ∨ x14)
(x10 ∨ ¬x21 ∨ x22)
(x18 ∨ ¬x17 ∨ x22)
(x6 ∨ x19 ∨ ¬x1)
(¬x14 ∨ x23 ∨ x10)
(x3 ∨ x4 ∨ ¬x17)
(¬x1 ∨ x5 ∨ x4)
(x17 ∨ ¬x16 ∨ x20)
(x21 ∨ ¬x12 ∨ x2)
(¬x22 ∨ ¬x3 ∨ ¬x23)

====================
EG
====================
