max3sat_random with ell = 24
=== Random 3SAT ===
Seed = 757904141
(¬x9 ∨ x16 ∨ x13)
(x16 ∨ x10 ∨ ¬x10)
(¬x11 ∨ ¬x19 ∨ ¬x17)
(x1 ∨ ¬x11 ∨ x3)
(¬x18 ∨ ¬x11 ∨ ¬x14)
(¬x15 ∨ x14 ∨ ¬x2)
(¬x10 ∨ ¬x8 ∨ x1)
(¬x23 ∨ x1 ∨ x17)
(x9 ∨ x9 ∨ ¬x14)
(¬x9 ∨ x0 ∨ x12)
(¬x6 ∨ ¬x7 ∨ x23)
(¬x19 ∨ x23 ∨ x18)
(x10 ∨ x3 ∨ ¬x8)
(x23 ∨ ¬x12 ∨ ¬x15)
(x15 ∨ ¬x23 ∨ ¬x5)
(¬x14 ∨ x13 ∨ x6)
(¬x20 ∨ x13 ∨ ¬x1)
(x15 ∨ x14 ∨ x17)
(¬x5 ∨ x16 ∨ x14)
(x6 ∨ ¬x14 ∨ ¬x9)
(¬x17 ∨ x19 ∨ ¬x21)
(¬x5 ∨ ¬x9 ∨ x17)
(x11 ∨ x7 ∨ ¬x11)
(x0 ∨ ¬x10 ∨ ¬x3)
(¬x8 ∨ ¬x1 ∨ x9)
(¬x2 ∨ x4 ∨ ¬x1)
(x10 ∨ ¬x18 ∨ ¬x4)
(¬x6 ∨ x7 ∨ x4)
(¬x12 ∨ ¬x14 ∨ x14)
(x0 ∨ ¬x18 ∨ ¬x8)
(x20 ∨ x6 ∨ ¬x2)
(x18 ∨ x1 ∨ x1)
(¬x21 ∨ x19 ∨ x17)
(¬x10 ∨ x0 ∨ ¬x15)
(x3 ∨ x12 ∨ ¬x13)
(x19 ∨ ¬x20 ∨ ¬x0)
(¬x5 ∨ x22 ∨ ¬x23)
(¬x7 ∨ x3 ∨ x16)
(x10 ∨ ¬x4 ∨ x9)
(¬x11 ∨ ¬x9 ∨ x13)
(¬x5 ∨ x13 ∨ ¬x14)
(x3 ∨ ¬x16 ∨ ¬x10)
(¬x17 ∨ ¬x20 ∨ ¬x16)
(x4 ∨ ¬x11 ∨ x1)
(x9 ∨ ¬x6 ∨ ¬x18)
(x6 ∨ x8 ∨ ¬x14)
(x23 ∨ x21 ∨ ¬x20)
(¬x15 ∨ ¬x0 ∨ x10)
(x17 ∨ x22 ∨ x18)
(¬x1 ∨ ¬x7 ∨ ¬x11)
(x23 ∨ ¬x10 ∨ ¬x14)
(¬x3 ∨ ¬x3 ∨ ¬x23)
(¬x10 ∨ x16 ∨ x0)
(x13 ∨ ¬x10 ∨ x3)
(x20 ∨ x14 ∨ ¬x2)
(¬x7 ∨ x18 ∨ ¬x19)
(¬x6 ∨ x8 ∨ x4)
(¬x21 ∨ ¬x1 ∨ x15)
(x16 ∨ x3 ∨ ¬x17)
(¬x7 ∨ x2 ∨ ¬x19)
(x10 ∨ x19 ∨ ¬x6)
(x10 ∨ x10 ∨ ¬x11)
(x8 ∨ x2 ∨ x8)
(¬x14 ∨ x8 ∨ ¬x15)
(x8 ∨ x1 ∨ x6)
(x22 ∨ x19 ∨ x14)
(¬x8 ∨ x2 ∨ ¬x19)
(¬x21 ∨ ¬x4 ∨ ¬x5)
(x18 ∨ x9 ∨ x5)
(x8 ∨ x21 ∨ x6)
(x20 ∨ x20 ∨ x21)
(¬x13 ∨ x18 ∨ ¬x4)
(¬x5 ∨ ¬x22 ∨ x8)
(x19 ∨ ¬x1 ∨ x10)
(¬x10 ∨ x13 ∨ ¬x5)
(x9 ∨ x1 ∨ ¬x21)
(x23 ∨ x14 ∨ ¬x6)
(¬x4 ∨ x9 ∨ x18)
(x9 ∨ ¬x13 ∨ x5)
(x21 ∨ x2 ∨ x8)
(¬x9 ∨ x11 ∨ ¬x1)
(¬x19 ∨ ¬x7 ∨ ¬x12)
(¬x18 ∨ x17 ∨ ¬x7)
(¬x1 ∨ ¬x15 ∨ ¬x1)
(¬x3 ∨ ¬x17 ∨ x0)
(¬x9 ∨ x18 ∨ ¬x12)
(¬x14 ∨ ¬x7 ∨ ¬x2)
(x9 ∨ ¬x20 ∨ x10)
(¬x6 ∨ x5 ∨ ¬x1)
(¬x21 ∨ ¬x5 ∨ x3)
(x22 ∨ x20 ∨ x13)
(¬x1 ∨ ¬x14 ∨ x20)
(¬x9 ∨ ¬x19 ∨ ¬x8)
(¬x21 ∨ x10 ∨ x0)
(x12 ∨ x0 ∨ x6)
(x11 ∨ ¬x3 ∨ ¬x21)
(¬x13 ∨ x6 ∨ ¬x1)
(x14 ∨ ¬x23 ∨ ¬x13)
(x2 ∨ x12 ∨ ¬x17)
(x5 ∨ ¬x1 ∨ x15)

====================
EG
====================
